"Step","offset 100 (3) - loss","offset 100 (3) - loss__MIN","offset 100 (3) - loss__MAX","offset 100 (2) - loss","offset 100 (2) - loss__MIN","offset 100 (2) - loss__MAX","offset 100 (1) - loss","offset 100 (1) - loss__MIN","offset 100 (1) - loss__MAX","offset 100 (5) - loss","offset 100 (5) - loss__MIN","offset 100 (5) - loss__MAX","offset 100 (4) - loss","offset 100 (4) - loss__MIN","offset 100 (4) - loss__MAX"
"3500","5.499115943908691","5.499115943908691","5.499115943908691","5.447554588317871","5.447554588317871","5.447554588317871","5.531959533691406","5.531959533691406","5.531959533691406","5.530200958251953","5.530200958251953","5.530200958251953","5.506558895111084","5.506558895111084","5.506558895111084"
"3600","5.561709403991699","5.561709403991699","5.561709403991699","5.543606281280518","5.543606281280518","5.543606281280518","5.585744380950928","5.585744380950928","5.585744380950928","5.476431369781494","5.476431369781494","5.476431369781494","5.531783580780029","5.531783580780029","5.531783580780029"
"3700","5.502903938293457","5.502903938293457","5.502903938293457","5.5307416915893555","5.5307416915893555","5.5307416915893555","5.6027703285217285","5.6027703285217285","5.6027703285217285","5.531151294708252","5.531151294708252","5.531151294708252","5.5889177322387695","5.5889177322387695","5.5889177322387695"
"3800","5.592867851257324","5.592867851257324","5.592867851257324","5.507274627685547","5.507274627685547","5.507274627685547","5.514825344085693","5.514825344085693","5.514825344085693","5.5473456382751465","5.5473456382751465","5.5473456382751465","5.491858005523682","5.491858005523682","5.491858005523682"
"3900","5.5396599769592285","5.5396599769592285","5.5396599769592285","5.477027893066406","5.477027893066406","5.477027893066406","5.5625691413879395","5.5625691413879395","5.5625691413879395","5.554242134094238","5.554242134094238","5.554242134094238","5.554668426513672","5.554668426513672","5.554668426513672"
"4000","5.56623649597168","5.56623649597168","5.56623649597168","5.635921001434326","5.635921001434326","5.635921001434326","5.581920146942139","5.581920146942139","5.581920146942139","5.537450313568115","5.537450313568115","5.537450313568115","5.517425537109375","5.517425537109375","5.517425537109375"
"4100","5.521803379058838","5.521803379058838","5.521803379058838","5.196221828460693","5.196221828460693","5.196221828460693","5.528954982757568","5.528954982757568","5.528954982757568","5.495785713195801","5.495785713195801","5.495785713195801","5.517679691314697","5.517679691314697","5.517679691314697"
"4200","5.544761657714844","5.544761657714844","5.544761657714844","5.4019317626953125","5.4019317626953125","5.4019317626953125","5.590970993041992","5.590970993041992","5.590970993041992","5.543712139129639","5.543712139129639","5.543712139129639","5.5594868659973145","5.5594868659973145","5.5594868659973145"
"4300","5.561557292938232","5.561557292938232","5.561557292938232","5.481157302856445","5.481157302856445","5.481157302856445","5.540926933288574","5.540926933288574","5.540926933288574","5.6134538650512695","5.6134538650512695","5.6134538650512695","5.510651588439941","5.510651588439941","5.510651588439941"
"4400","5.521817684173584","5.521817684173584","5.521817684173584","5.542311191558838","5.542311191558838","5.542311191558838","5.5386433601379395","5.5386433601379395","5.5386433601379395","5.485933303833008","5.485933303833008","5.485933303833008","5.53159761428833","5.53159761428833","5.53159761428833"
"4500","5.525679588317871","5.525679588317871","5.525679588317871","5.328226089477539","5.328226089477539","5.328226089477539","5.599143028259277","5.599143028259277","5.599143028259277","5.522706031799316","5.522706031799316","5.522706031799316","5.589623928070068","5.589623928070068","5.589623928070068"
"4600","5.490297317504883","5.490297317504883","5.490297317504883","5.631769180297852","5.631769180297852","5.631769180297852","5.498486518859863","5.498486518859863","5.498486518859863","5.490477561950684","5.490477561950684","5.490477561950684","5.499457359313965","5.499457359313965","5.499457359313965"
"4700","4.468285083770752","4.468285083770752","4.468285083770752","5.029146194458008","5.029146194458008","5.029146194458008","5.452179431915283","5.452179431915283","5.452179431915283","5.535583972930908","5.535583972930908","5.535583972930908","5.565093517303467","5.565093517303467","5.565093517303467"
"4800","2.0517513751983643","2.0517513751983643","2.0517513751983643","4.789389133453369","4.789389133453369","4.789389133453369","5.521294593811035","5.521294593811035","5.521294593811035","5.54626989364624","5.54626989364624","5.54626989364624","5.543270111083984","5.543270111083984","5.543270111083984"
"4900","3.6956591606140137","3.6956591606140137","3.6956591606140137","5.108616352081299","5.108616352081299","5.108616352081299","5.542108058929443","5.542108058929443","5.542108058929443","5.554422378540039","5.554422378540039","5.554422378540039","5.493711948394775","5.493711948394775","5.493711948394775"
"5000","0.02571859396994114","0.02571859396994114","0.02571859396994114","4.86198616027832","4.86198616027832","4.86198616027832","5.5436577796936035","5.5436577796936035","5.5436577796936035","5.5981245040893555","5.5981245040893555","5.5981245040893555","5.534694194793701","5.534694194793701","5.534694194793701"
"5100","0.0024346443824470043","0.0024346443824470043","0.0024346443824470043","5.5389933586120605","5.5389933586120605","5.5389933586120605","5.513369083404541","5.513369083404541","5.513369083404541","5.600379943847656","5.600379943847656","5.600379943847656","5.515489101409912","5.515489101409912","5.515489101409912"
"5200","0.0006305475835688412","0.0006305475835688412","0.0006305475835688412","4.886629104614258","4.886629104614258","4.886629104614258","5.496578216552734","5.496578216552734","5.496578216552734","5.5180277824401855","5.5180277824401855","5.5180277824401855","5.574077606201172","5.574077606201172","5.574077606201172"
"5300","0.000655905925668776","0.000655905925668776","0.000655905925668776","5.427239418029785","5.427239418029785","5.427239418029785","5.472379684448242","5.472379684448242","5.472379684448242","5.551674842834473","5.551674842834473","5.551674842834473","5.558260917663574","5.558260917663574","5.558260917663574"
"5400","0.00050638138782233","0.00050638138782233","0.00050638138782233","5.270219802856445","5.270219802856445","5.270219802856445","5.594875335693359","5.594875335693359","5.594875335693359","5.5893120765686035","5.5893120765686035","5.5893120765686035","5.498311519622803","5.498311519622803","5.498311519622803"
"5500","0.0004563367401715368","0.0004563367401715368","0.0004563367401715368","3.113241672515869","3.113241672515869","3.113241672515869","5.540887832641602","5.540887832641602","5.540887832641602","5.504745006561279","5.504745006561279","5.504745006561279","5.545516490936279","5.545516490936279","5.545516490936279"
"5600","0.000360970530891791","0.000360970530891791","0.000360970530891791","2.6906867027282715","2.6906867027282715","2.6906867027282715","5.510470867156982","5.510470867156982","5.510470867156982","5.503860950469971","5.503860950469971","5.503860950469971","5.571697235107422","5.571697235107422","5.571697235107422"
"5700","0.00028367858612909913","0.00028367858612909913","0.00028367858612909913","3.1572320461273193","3.1572320461273193","3.1572320461273193","5.529225826263428","5.529225826263428","5.529225826263428","5.480556011199951","5.480556011199951","5.480556011199951","5.554794788360596","5.554794788360596","5.554794788360596"
"5800","0.0002939062542282045","0.0002939062542282045","0.0002939062542282045","3.1595633029937744","3.1595633029937744","3.1595633029937744","5.551527500152588","5.551527500152588","5.551527500152588","5.555847644805908","5.555847644805908","5.555847644805908","5.531277656555176","5.531277656555176","5.531277656555176"
"5900","0.0002218917361460626","0.0002218917361460626","0.0002218917361460626","2.440286159515381","2.440286159515381","2.440286159515381","5.536480903625488","5.536480903625488","5.536480903625488","5.552773952484131","5.552773952484131","5.552773952484131","5.540858745574951","5.540858745574951","5.540858745574951"
"6000","0.00024126794596668333","0.00024126794596668333","0.00024126794596668333","2.436563014984131","2.436563014984131","2.436563014984131","5.5453081130981445","5.5453081130981445","5.5453081130981445","5.541738510131836","5.541738510131836","5.541738510131836","5.520313739776611","5.520313739776611","5.520313739776611"
"6100","0.0001419739128323272","0.0001419739128323272","0.0001419739128323272","2.4082720279693604","2.4082720279693604","2.4082720279693604","5.519090175628662","5.519090175628662","5.519090175628662","5.49200439453125","5.49200439453125","5.49200439453125","5.500347137451172","5.500347137451172","5.500347137451172"
"6200","0.00013408524682745337","0.00013408524682745337","0.00013408524682745337","3.833805799484253","3.833805799484253","3.833805799484253","5.535963535308838","5.535963535308838","5.535963535308838","5.529664993286133","5.529664993286133","5.529664993286133","5.540505409240723","5.540505409240723","5.540505409240723"
"6300","0.00014861160889267921","0.00014861160889267921","0.00014861160889267921","3.4280481338500977","3.4280481338500977","3.4280481338500977","5.5452985763549805","5.5452985763549805","5.5452985763549805","5.543952941894531","5.543952941894531","5.543952941894531","5.548977375030518","5.548977375030518","5.548977375030518"
"6400","0.00009899023280013353","0.00009899023280013353","0.00009899023280013353","0.001967896707355976","0.001967896707355976","0.001967896707355976","5.550539970397949","5.550539970397949","5.550539970397949","5.591513633728027","5.591513633728027","5.591513633728027","5.552783489227295","5.552783489227295","5.552783489227295"
"6500","0.00011044700659113005","0.00011044700659113005","0.00011044700659113005","0.0007424048963002861","0.0007424048963002861","0.0007424048963002861","5.513452053070068","5.513452053070068","5.513452053070068","5.55745792388916","5.55745792388916","5.55745792388916","5.507628917694092","5.507628917694092","5.507628917694092"
"6600","0.00010237263632006943","0.00010237263632006943","0.00010237263632006943","0.0006346378359012306","0.0006346378359012306","0.0006346378359012306","5.548179626464844","5.548179626464844","5.548179626464844","5.512639045715332","5.512639045715332","5.512639045715332","5.557851791381836","5.557851791381836","5.557851791381836"
"6700","0.00012337857333477587","0.00012337857333477587","0.00012337857333477587","0.0004738991556223482","0.0004738991556223482","0.0004738991556223482","5.52294921875","5.52294921875","5.52294921875","5.582884311676025","5.582884311676025","5.582884311676025","5.551472187042236","5.551472187042236","5.551472187042236"
"6800","0.00009251626033801585","0.00009251626033801585","0.00009251626033801585","0.0003514169075060636","0.0003514169075060636","0.0003514169075060636","5.514183521270752","5.514183521270752","5.514183521270752","5.545985221862793","5.545985221862793","5.545985221862793","5.5345458984375","5.5345458984375","5.5345458984375"
"6900","0.00008730898844078183","0.00008730898844078183","0.00008730898844078183","0.00027093011885881424","0.00027093011885881424","0.00027093011885881424","5.570689678192139","5.570689678192139","5.570689678192139","5.515851020812988","5.515851020812988","5.515851020812988","5.55265998840332","5.55265998840332","5.55265998840332"
"7000","0.00007884611841291189","0.00007884611841291189","0.00007884611841291189","0.00025906009250320494","0.00025906009250320494","0.00025906009250320494","5.553740978240967","5.553740978240967","5.553740978240967","5.5707855224609375","5.5707855224609375","5.5707855224609375","5.540521621704102","5.540521621704102","5.540521621704102"
"7100","0.0000760969051043503","0.0000760969051043503","0.0000760969051043503","0.00018660225032363087","0.00018660225032363087","0.00018660225032363087","5.55938196182251","5.55938196182251","5.55938196182251","5.594965934753418","5.594965934753418","5.594965934753418","5.494873523712158","5.494873523712158","5.494873523712158"
"7200","0.00006413232767954469","0.00006413232767954469","0.00006413232767954469","0.000204175928956829","0.000204175928956829","0.000204175928956829","5.592635154724121","5.592635154724121","5.592635154724121","5.483972072601318","5.483972072601318","5.483972072601318","5.53596830368042","5.53596830368042","5.53596830368042"
"7300","0.00007237151294248179","0.00007237151294248179","0.00007237151294248179","0.0001614548673387617","0.0001614548673387617","0.0001614548673387617","5.49479341506958","5.49479341506958","5.49479341506958","5.575910568237305","5.575910568237305","5.575910568237305","5.584061145782471","5.584061145782471","5.584061145782471"
"7400","0.00006425885658245534","0.00006425885658245534","0.00006425885658245534","0.00013519615458790213","0.00013519615458790213","0.00013519615458790213","5.506773471832275","5.506773471832275","5.506773471832275","5.504358768463135","5.504358768463135","5.504358768463135","5.559493064880371","5.559493064880371","5.559493064880371"
"7500","0.00006283607217483222","0.00006283607217483222","0.00006283607217483222","0.00013688590843230486","0.00013688590843230486","0.00013688590843230486","5.5719733238220215","5.5719733238220215","5.5719733238220215","5.554765701293945","5.554765701293945","5.554765701293945","5.551393032073975","5.551393032073975","5.551393032073975"
"7600","0.00005914076609769836","0.00005914076609769836","0.00005914076609769836","0.00011441893002483994","0.00011441893002483994","0.00011441893002483994","5.54958438873291","5.54958438873291","5.54958438873291","5.532556533813477","5.532556533813477","5.532556533813477","5.5828375816345215","5.5828375816345215","5.5828375816345215"
"7700","0.00005133301601745188","0.00005133301601745188","0.00005133301601745188","0.00011834321776404977","0.00011834321776404977","0.00011834321776404977","5.540653228759766","5.540653228759766","5.540653228759766","5.511578559875488","5.511578559875488","5.511578559875488","5.539411544799805","5.539411544799805","5.539411544799805"
"7800","0.0000455889203294646","0.0000455889203294646","0.0000455889203294646","0.00009256861812900752","0.00009256861812900752","0.00009256861812900752","5.5484418869018555","5.5484418869018555","5.5484418869018555","5.525708198547363","5.525708198547363","5.525708198547363","5.594605445861816","5.594605445861816","5.594605445861816"
"7900","0.00004514936881605536","0.00004514936881605536","0.00004514936881605536","0.00007717697008047253","0.00007717697008047253","0.00007717697008047253","5.522165298461914","5.522165298461914","5.522165298461914","5.590999603271484","5.590999603271484","5.590999603271484","5.5123701095581055","5.5123701095581055","5.5123701095581055"
"8000","0.00004278013511793688","0.00004278013511793688","0.00004278013511793688","0.00008818753849482164","0.00008818753849482164","0.00008818753849482164","5.538368225097656","5.538368225097656","5.538368225097656","5.537844181060791","5.537844181060791","5.537844181060791","5.540299415588379","5.540299415588379","5.540299415588379"
"8100","0.00004073140735272318","0.00004073140735272318","0.00004073140735272318","0.00008155021350830793","0.00008155021350830793","0.00008155021350830793","5.5799970626831055","5.5799970626831055","5.5799970626831055","5.530473232269287","5.530473232269287","5.530473232269287","5.4800944328308105","5.4800944328308105","5.4800944328308105"
"8200","0.00003640283102868125","0.00003640283102868125","0.00003640283102868125","0.00006875893450342119","0.00006875893450342119","0.00006875893450342119","5.528353691101074","5.528353691101074","5.528353691101074","5.501945972442627","5.501945972442627","5.501945972442627","5.482936382293701","5.482936382293701","5.482936382293701"
