"Step","offset 100 (3) - mu_0","offset 100 (3) - mu_0__MIN","offset 100 (3) - mu_0__MAX","offset 100 (2) - mu_0","offset 100 (2) - mu_0__MIN","offset 100 (2) - mu_0__MAX","offset 100 (1) - mu_0","offset 100 (1) - mu_0__MIN","offset 100 (1) - mu_0__MAX","offset 100 (5) - mu_0","offset 100 (5) - mu_0__MIN","offset 100 (5) - mu_0__MAX","offset 100 (4) - mu_0","offset 100 (4) - mu_0__MIN","offset 100 (4) - mu_0__MAX"
"4100","78.74075317382812","78.74075317382812","78.74075317382812","95.13786315917969","95.13786315917969","95.13786315917969","174.9263916015625","174.9263916015625","174.9263916015625","39.59929656982422","39.59929656982422","39.59929656982422","179.8709716796875","179.8709716796875","179.8709716796875"
"4200","79.3351821899414","79.3351821899414","79.3351821899414","96.66768646240234","96.66768646240234","96.66768646240234","175.27647399902344","175.27647399902344","175.27647399902344","39.804752349853516","39.804752349853516","39.804752349853516","180.10806274414062","180.10806274414062","180.10806274414062"
"4300","80.62033081054688","80.62033081054688","80.62033081054688","96.84479522705078","96.84479522705078","96.84479522705078","175.3927459716797","175.3927459716797","175.3927459716797","40.24785614013672","40.24785614013672","40.24785614013672","180.56610107421875","180.56610107421875","180.56610107421875"
"4400","81.24469757080078","81.24469757080078","81.24469757080078","96.78399658203125","96.78399658203125","96.78399658203125","175.44003295898438","175.44003295898438","175.44003295898438","40.33119583129883","40.33119583129883","40.33119583129883","180.39285278320312","180.39285278320312","180.39285278320312"
"4500","83.64210510253906","83.64210510253906","83.64210510253906","96.4751205444336","96.4751205444336","96.4751205444336","174.93634033203125","174.93634033203125","174.93634033203125","40.55685043334961","40.55685043334961","40.55685043334961","180.30206298828125","180.30206298828125","180.30206298828125"
"4600","86.98309326171875","86.98309326171875","86.98309326171875","96.92778015136719","96.92778015136719","96.92778015136719","175.03778076171875","175.03778076171875","175.03778076171875","40.596923828125","40.596923828125","40.596923828125","180.09100341796875","180.09100341796875","180.09100341796875"
"4700","96.0256118774414","96.0256118774414","96.0256118774414","97.22891235351562","97.22891235351562","97.22891235351562","175.20309448242188","175.20309448242188","175.20309448242188","40.705535888671875","40.705535888671875","40.705535888671875","179.801513671875","179.801513671875","179.801513671875"
"4800","96.80571746826172","96.80571746826172","96.80571746826172","97.4809341430664","97.4809341430664","97.4809341430664","174.77255249023438","174.77255249023438","174.77255249023438","40.8164176940918","40.8164176940918","40.8164176940918","180.428466796875","180.428466796875","180.428466796875"
"4900","98.90563201904297","98.90563201904297","98.90563201904297","97.8004379272461","97.8004379272461","97.8004379272461","174.18333435058594","174.18333435058594","174.18333435058594","40.94417953491211","40.94417953491211","40.94417953491211","180.88926696777344","180.88926696777344","180.88926696777344"
"5000","99.0867691040039","99.0867691040039","99.0867691040039","98.05502319335938","98.05502319335938","98.05502319335938","173.90135192871094","173.90135192871094","173.90135192871094","41.065391540527344","41.065391540527344","41.065391540527344","180.38003540039062","180.38003540039062","180.38003540039062"
"5100","99.13157653808594","99.13157653808594","99.13157653808594","98.10504913330078","98.10504913330078","98.10504913330078","174.03289794921875","174.03289794921875","174.03289794921875","41.038578033447266","41.038578033447266","41.038578033447266","179.88580322265625","179.88580322265625","179.88580322265625"
"5200","99.15807342529297","99.15807342529297","99.15807342529297","97.76578521728516","97.76578521728516","97.76578521728516","173.80239868164062","173.80239868164062","173.80239868164062","41.15253448486328","41.15253448486328","41.15253448486328","179.6911163330078","179.6911163330078","179.6911163330078"
"5300","99.18350982666016","99.18350982666016","99.18350982666016","98.39387512207031","98.39387512207031","98.39387512207031","172.92369079589844","172.92369079589844","172.92369079589844","41.18817901611328","41.18817901611328","41.18817901611328","179.18319702148438","179.18319702148438","179.18319702148438"
"5400","99.21161651611328","99.21161651611328","99.21161651611328","98.49820709228516","98.49820709228516","98.49820709228516","173.460205078125","173.460205078125","173.460205078125","41.507598876953125","41.507598876953125","41.507598876953125","178.9200897216797","178.9200897216797","178.9200897216797"
"5500","99.23906707763672","99.23906707763672","99.23906707763672","98.56463623046875","98.56463623046875","98.56463623046875","173.7789306640625","173.7789306640625","173.7789306640625","41.5761604309082","41.5761604309082","41.5761604309082","179.34510803222656","179.34510803222656","179.34510803222656"
"5600","99.2674789428711","99.2674789428711","99.2674789428711","98.62938690185547","98.62938690185547","98.62938690185547","173.3429718017578","173.3429718017578","173.3429718017578","42.18729019165039","42.18729019165039","42.18729019165039","179.81658935546875","179.81658935546875","179.81658935546875"
"5700","99.29511260986328","99.29511260986328","99.29511260986328","98.60225677490234","98.60225677490234","98.60225677490234","173.763427734375","173.763427734375","173.763427734375","42.43940353393555","42.43940353393555","42.43940353393555","179.52090454101562","179.52090454101562","179.52090454101562"
"5800","99.32242584228516","99.32242584228516","99.32242584228516","98.8341064453125","98.8341064453125","98.8341064453125","174.06411743164062","174.06411743164062","174.06411743164062","42.336448669433594","42.336448669433594","42.336448669433594","179.14556884765625","179.14556884765625","179.14556884765625"
"5900","99.3493881225586","99.3493881225586","99.3493881225586","98.58503723144531","98.58503723144531","98.58503723144531","174.0160369873047","174.0160369873047","174.0160369873047","42.164974212646484","42.164974212646484","42.164974212646484","178.81463623046875","178.81463623046875","178.81463623046875"
"6000","99.37724304199219","99.37724304199219","99.37724304199219","98.60929107666016","98.60929107666016","98.60929107666016","174.17510986328125","174.17510986328125","174.17510986328125","42.197139739990234","42.197139739990234","42.197139739990234","179.19114685058594","179.19114685058594","179.19114685058594"
"6100","99.4051513671875","99.4051513671875","99.4051513671875","98.85301971435547","98.85301971435547","98.85301971435547","174.8348846435547","174.8348846435547","174.8348846435547","42.5728645324707","42.5728645324707","42.5728645324707","178.72555541992188","178.72555541992188","178.72555541992188"
"6200","99.43270874023438","99.43270874023438","99.43270874023438","98.91328430175781","98.91328430175781","98.91328430175781","174.90579223632812","174.90579223632812","174.90579223632812","42.57044982910156","42.57044982910156","42.57044982910156","178.57696533203125","178.57696533203125","178.57696533203125"
