"Step","offset 200 (3) modulo - loss","offset 200 (3) modulo - loss__MIN","offset 200 (3) modulo - loss__MAX","offset 200 (2) modulo - loss","offset 200 (2) modulo - loss__MIN","offset 200 (2) modulo - loss__MAX","offset 200 (1) modulo - loss","offset 200 (1) modulo - loss__MIN","offset 200 (1) modulo - loss__MAX"
"8500","0.0000693740148562938","0.0000693740148562938","0.0000693740148562938","0.00003521801045280881","0.00003521801045280881","0.00003521801045280881","0.000040648628782946616","0.000040648628782946616","0.000040648628782946616"
"8600","0.000035112945624860004","0.000035112945624860004","0.000035112945624860004","0.000021591415134025738","0.000021591415134025738","0.000021591415134025738","0.000033809556043706834","0.000033809556043706834","0.000033809556043706834"
"8700","0.000042726536776172","0.000042726536776172","0.000042726536776172","0.000021159343305043876","0.000021159343305043876","0.000021159343305043876","0.00004114058901905082","0.00004114058901905082","0.00004114058901905082"
"8800","0.000026612751753418706","0.000026612751753418706","0.000026612751753418706","0.00002033977216342464","0.00002033977216342464","0.00002033977216342464","0.000029377028113231063","0.000029377028113231063","0.000029377028113231063"
"8900","0.000026098767193616368","0.000026098767193616368","0.000026098767193616368","0.000022649430320598185","0.000022649430320598185","0.000022649430320598185","0.000023096392396837473","0.000023096392396837473","0.000023096392396837473"
"9000","0.000043225823901593685","0.000043225823901593685","0.000043225823901593685","0.000025353790988447145","0.000025353790988447145","0.000025353790988447145","0.000032125943107530475","0.000032125943107530475","0.000032125943107530475"
"9100","0.000019207087461836636","0.000019207087461836636","0.000019207087461836636","0.000023968170353327878","0.000023968170353327878","0.000023968170353327878","0.00004087244451511651","0.00004087244451511651","0.00004087244451511651"
"9200","0.000017314881915808655","0.000017314881915808655","0.000017314881915808655","0.000015280964362318628","0.000015280964362318628","0.000015280964362318628","0.000028982156436541118","0.000028982156436541118","0.000028982156436541118"
"9300","0.000013790870070806704","0.000013790870070806704","0.000013790870070806704","0.000052730632887687534","0.000052730632887687534","0.000052730632887687534","0.000026203215384157375","0.000026203215384157375","0.000026203215384157375"
"9400","0.000017679982192930765","0.000017679982192930765","0.000017679982192930765","0.000027112104362458922","0.000027112104362458922","0.000027112104362458922","0.000018492075469112024","0.000018492075469112024","0.000018492075469112024"
"9500","4.661768913269043","4.661768913269043","4.661768913269043","0.000024817414669087157","0.000024817414669087157","0.000024817414669087157","0.000015206482203211635","0.000015206482203211635","0.000015206482203211635"
"9600","0.14765189588069916","0.14765189588069916","0.14765189588069916","0.000017985430531552993","0.000017985430531552993","0.000017985430531552993","0.000022805852495366707","0.000022805852495366707","0.000022805852495366707"
"9700","0.04233769699931145","0.04233769699931145","0.04233769699931145","0.000021658519472111948","0.000021658519472111948","0.000021658519472111948","0.000016957308616838418","0.000016957308616838418","0.000016957308616838418"
"9800","0.14225758612155914","0.14225758612155914","0.14225758612155914","0.00003732525874511339","0.00003732525874511339","0.00003732525874511339","0.00002830357880156953","0.00002830357880156953","0.00002830357880156953"
"9900","0.00005167413110029884","0.00005167413110029884","0.00005167413110029884","0.000047237201215466484","0.000047237201215466484","0.000047237201215466484","0.00004460391210159287","0.00004460391210159287","0.00004460391210159287"
"10000","0.00003868184285238385","0.00003868184285238385","0.00003868184285238385","0.00008570650243200362","0.00008570650243200362","0.00008570650243200362","0.000039598813600605354","0.000039598813600605354","0.000039598813600605354"
"10100","0.00002206065801146906","0.00002206065801146906","0.00002206065801146906","0.00002172557833546307","0.00002172557833546307","0.00002172557833546307","0.00001653264189371839","0.00001653264189371839","0.00001653264189371839"
"10200","0.00001542244353913702","0.00001542244353913702","0.00001542244353913702","0.000016644418792566285","0.000016644418792566285","0.000016644418792566285","0.00002200124436058104","0.00002200124436058104","0.00002200124436058104"
"10300","0.000014431554518523626","0.000014431554518523626","0.000014431554518523626","0.000013038391443842556","0.000013038391443842556","0.000013038391443842556","0.00001804510065994691","0.00001804510065994691","0.00001804510065994691"
"10400","0.000015012680705694947","0.000015012680705694947","0.000015012680705694947","0.000011622808415268082","0.000011622808415268082","0.000011622808415268082","0.000016934965969994664","0.000016934965969994664","0.000016934965969994664"
"10500","0.00001909550883283373","0.00001909550883283373","0.00001909550883283373","0.00002226135075034108","0.00002226135075034108","0.00002226135075034108","0.00006133352144388482","0.00006133352144388482","0.00006133352144388482"
"10600","5.269941806793213","5.269941806793213","5.269941806793213","0.000020429240976227447","0.000020429240976227447","0.000020429240976227447","0.00003856288822134957","0.00003856288822134957","0.00003856288822134957"
"10700","0.09029189497232437","0.09029189497232437","0.09029189497232437","0.000015213929145829752","0.000015213929145829752","0.000015213929145829752","0.000018015247405855916","0.000018015247405855916","0.000018015247405855916"
"10800","0.00016783346654847264","0.00016783346654847264","0.00016783346654847264","0.000012516874448920134","0.000012516874448920134","0.000012516874448920134","0.000022001231627655216","0.000022001231627655216","0.000022001231627655216"
"10900","0.00005210559902479872","0.00005210559902479872","0.00005210559902479872","0.000008597906344220974","0.000008597906344220974","0.000008597906344220974","0.00002165107252949383","0.00002165107252949383","0.00002165107252949383"
"11000","0.00003371267666807398","0.00003371267666807398","0.00003371267666807398","0.000011265188732068054","0.000011265188732068054","0.000011265188732068054","0.00001846224404289387","0.00001846224404289387","0.00001846224404289387"
"11100","0.00003311641194159165","0.00003311641194159165","0.00003311641194159165","0.000008910839824238792","0.000008910839824238792","0.000008910839824238792","0.00001646560849621892","0.00001646560849621892","0.00001646560849621892"
"11200","0.000018782489860313945","0.000018782489860313945","0.000018782489860313945","0.000009372776730742771","0.000009372776730742771","0.000009372776730742771","0.000013179961570131127","0.000013179961570131127","0.000013179961570131127"
"11300","0.000015191355487331748","0.000015191355487331748","0.000015191355487331748","0.00000676509353070287","0.00000676509353070287","0.00000676509353070287","0.000012718028301605955","0.000012718028301605955","0.000012718028301605955"
"11400","0.00001013266864902107","0.00001013266864902107","0.00001013266864902107","0.1325613111257553","0.1325613111257553","0.1325613111257553","0.000015169207472354174","0.000015169207472354174","0.000015169207472354174"
"11500","0.000011890981113538146","0.000011890981113538146","0.000011890981113538146","0.022411998361349106","0.022411998361349106","0.022411998361349106","0.000016234636859735474","0.000016234636859735474","0.000016234636859735474"
